x,y,hex
14,44,#5d5d5d
14,45,#626262
14,46,#666666
14,47,#696969
14,48,#717171
14,49,#808080
14,50,#8e8e8e
14,51,#959595
14,52,#989898
14,53,#9c9c9c
14,54,#b1b1b1
14,55,#c5c5c5
14,56,#bebebe
14,57,#afafaf
14,58,#a3a3a3
14,59,#868686
14,60,#4a4a4a
15,9,#fefefe
15,10,#d3d3d3
15,11,#676767
15,12,#6a6a6a
15,13,#313131
15,14,#2d2d2d
15,15,#343434
15,16,#1d1d1d
15,17,#1c1c1c
15,18,#242424
15,19,#242424
15,20,#303030
15,21,#3d3d3d
15,22,#464646
15,23,#535353
15,24,#656565
15,25,#797979
15,26,#8e8e8e
15,27,#a1a1a1
15,28,#ababab
15,29,#afafaf
15,30,#aeaeae
15,31,#aaaaaa
15,32,#aaaaaa
15,33,#adadad
15,34,#afafaf
15,35,#afafaf
15,36,#b1b1b1
15,37,#b1b1b1
15,38,#a8a8a8
15,39,#949494
15,40,#7e7e7e
15,41,#6a6a6a
15,42,#585858
15,43,#515151
15,44,#575757
15,45,#5f5f5f
15,46,#656565
15,47,#666666
15,48,#636363
15,49,#656565
15,50,#6e6e6e
15,51,#7a7a7a
15,52,#7a7a7a
15,53,#6a6a6a
15,54,#6d6d6d
15,55,#7b7b7b
15,56,#7f7f7f
15,57,#7f7f7f
15,58,#7f7f7f
15,59,#767676
15,60,#646464
16,6,#fdfdfd
16,7,#e8e8e8
16,8,#b8b8b8
16,9,#b9b9b9
16,10,#a7a7a7
16,11,#5a5a5a
16,12,#434343
16,13,#262626
16,14,#1f1f1f
16,15,#383838
16,16,#1f1f1f
16,17,#1c1c1c
16,18,#222222
16,19,#272727
16,20,#383838
16,21,#484848
16,22,#555555
16,23,#6d6d6d
16,24,#828282
16,25,#949494
16,26,#a3a3a3
16,27,#aeaeae
16,28,#b2b2b2
16,29,#b2b2b2
16,30,#b0b0b0
16,31,#afafaf
16,32,#b3b3b3
16,33,#b8b8b8
16,34,#b8b8b8
16,35,#bababa
16,36,#c1c1c1
16,37,#c1c1c1
16,38,#b6b6b6
16,39,#9f9f9f
16,40,#838383
16,41,#6c6c6c
16,42,#595959
16,43,#535353
16,44,#5c5c5c
16,45,#676767
16,46,#6d6d6d
16,47,#6d6d6d
16,48,#656565
16,49,#5d5d5d
16,50,#5d5d5d
16,51,#676767
16,52,#707070
16,53,#656565
16,54,#525252
16,55,#555555
16,56,#636363
16,57,#6d6d6d
16,58,#767676
16,59,#767676
16,60,#737373
17,6,#fdfdfd
17,7,#dadada
17,8,#a3a3a3
17,9,#929292
17,10,#656565
17,11,#363636
17,12,#1e1e1e
17,13,#191919
17,14,#1a1a1a
17,15,#2d2d2d
17,16,#1d1d1d
17,17,#1c1c1c
17,18,#2b2b2b
17,19,#343434
17,20,#4c4c4c
17,21,#676767
17,22,#7e7e7e
17,23,#909090
17,24,#989898
17,25,#a1a1a1
17,26,#acacac
17,27,#afafaf
17,28,#adadad
17,29,#a8a8a8
17,30,#a1a1a1
17,31,#9f9f9f
17,32,#adadad
17,33,#bbbbbb
17,34,#bebebe
17,35,#c4c4c4
17,36,#cccccc
17,37,#cbcbcb
17,38,#bfbfbf
17,39,#a9a9a9
17,40,#8c8c8c
17,41,#707070
17,42,#585858
17,43,#494949
17,44,#4e4e4e
17,45,#606060
17,46,#6c6c6c
17,47,#6a6a6a
17,48,#606060
17,49,#5a5a5a
17,50,#595959
17,51,#5f5f5f
17,52,#666666
17,53,#666666
17,54,#515151
